,solution,time in s,decisions,unit propagation steps
1,succ,0.4165149,75149,165972
2,succ,0.5458227,99281,207764
3,succ,0.0049745,823,1954
4,succ,0.052857100000000004,10617,22579
5,succ,0.0173606,3858,7001
6,succ,0.551413,91203,186107
7,succ,0.1172196,21627,44141
8,succ,0.059667000000000005,9448,22290
9,succ,0.0153901,2933,5615
10,succ,0.3198899,50933,101488
11,succ,0.1581281,23174,49294
12,succ,0.0302576,4816,10031
13,succ,0.15657849999999998,22824,51986
14,succ,0.5961158,86221,171429
15,succ,0.0067781000000000004,1026,2217
16,succ,0.3163493,47098,90086
17,succ,0.26599629999999996,38243,75168
18,succ,0.2896354,58222,93194
19,succ,0.068494,11622,23335
20,succ,0.3365195,68028,137201
